vol;début;fin;frequence
AF 6958 ;01/02/2024;01/02/2024;4
AF 6958 ;02/02/2024;02/02/2024;5
AF 6958 ;07/02/2024;07/02/2024;3
AF 6958 ;10/02/2024;10/02/2024;6
AF 6958 ;11/02/2024;11/02/2024;7
AF 6958 ;14/02/2024;14/02/2024;3
AF 6958 ;15/02/2024;15/02/2024;4
AF 6958 ;16/02/2024;16/02/2024;5
AF 6958 ;17/02/2024;17/02/2024;6
AF 6958 ;18/02/2024;18/02/2024;7
AF 6958 ;21/02/2024;21/02/2024;3
DL 3022 ;08/06/2024;15/06/2024;6
DL 3022 ;11/06/2024;19/06/2024;23
DL 3022 ;22/06/2024;07/09/2024;6
DL 3022 ;25/06/2024;03/07/2024;123
DL 3022 ;30/06/2024;05/07/2024;457
DL 3022 ;09/07/2024;04/09/2024;23
AF 215  ;27/01/2024;07/02/2024;136
AF 215  ;10/02/2024;10/02/2024;6
AF 215  ;12/02/2024;12/02/2024;1
AF 215  ;14/02/2024;14/02/2024;3
AF 215  ;17/02/2024;26/02/2024;136
AF 9449 ;09/02/2024;16/02/2024;5
AF 9449 ;10/02/2024;17/02/2024;6
AF 9449 ;24/02/2024;02/03/2024;6
AF 9449 ;08/03/2024;22/03/2024;5
AF 9449 ;09/03/2024;09/03/2024;6
AF 9449 ;10/03/2024;17/03/2024;7
AF 9449 ;16/03/2024;16/03/2024;6
AF 9449 ;23/03/2024;23/03/2024;6
AF 9449 ;24/03/2024;24/03/2024;7
AF 9449 ;29/03/2024;29/03/2024;5
AF 9449 ;30/03/2024;30/03/2024;6
AF 9449 ;31/03/2024;07/04/2024;7
AF 9449 ;05/04/2024;05/04/2024;5
AF 9449 ;06/04/2024;06/04/2024;6
AF 9449 ;12/04/2024;12/04/2024;5
AF 9449 ;13/04/2024;13/04/2024;6
AF 9449 ;19/04/2024;19/04/2024;5
AF 9449 ;20/04/2024;20/04/2024;6
AF 9449 ;27/04/2024;27/04/2024;6
AF 9449 ;03/05/2024;03/05/2024;5
AF 9449 ;04/05/2024;04/05/2024;6
AF 9449 ;05/05/2024;05/05/2024;7
AF 9449 ;12/05/2024;12/05/2024;7
AF 9449 ;17/05/2024;31/05/2024;5
AF 9449 ;18/05/2024;29/06/2024;6
AF 9449 ;19/05/2024;02/06/2024;7
AF 9449 ;20/05/2024;20/05/2024;1
AF 9449 ;07/06/2024;05/07/2024;5
AF 9449 ;09/06/2024;30/06/2024;7
AF 9449 ;06/09/2024;25/10/2024;5
AF 9449 ;07/09/2024;26/10/2024;6
AF 9449 ;08/09/2024;20/10/2024;7
AF 624  ;02/01/2024;05/03/2024;2
AF 624  ;06/01/2024;09/03/2024;6
AF 624  ;12/03/2024;26/03/2024;2
AF 624  ;16/03/2024;30/03/2024;6
AF 624  ;02/04/2024;02/04/2024;2
AF 624  ;06/04/2024;06/04/2024;6
KL 1233 ;05/02/2024;30/03/2024;1234567
AF 309D ;07/02/2024;07/02/2024;3
AF 309D ;14/02/2024;14/02/2024;3
AF 309D ;15/02/2024;15/02/2024;4
AF 309D ;17/02/2024;17/02/2024;6
AF 371M ;10/01/2024;26/03/2025;3
AF 371M ;12/01/2024;28/03/2025;5
AF 1091 ;06/07/2024;31/08/2024;2346
2C 9004M;30/10/2023;28/03/2024;12347
AI 465  ;31/10/2023;26/03/2024;2
AI 465  ;01/11/2023;30/03/2024;134567
KL 757  ;22/01/2024;30/03/2024;1234567
DL 2194 ;12/02/2024;12/02/2024;1
DL 2194 ;13/02/2024;13/02/2024;2
DL 2194 ;14/02/2024;14/02/2024;3
DL 2194 ;15/02/2024;15/02/2024;4
DL 2194 ;16/02/2024;16/02/2024;5
DL 2194 ;19/02/2024;19/02/2024;1
DL 2194 ;20/02/2024;20/02/2024;2
DL 2194 ;21/02/2024;28/02/2024;3
DL 2194 ;22/02/2024;22/02/2024;4
DL 2194 ;23/02/2024;23/02/2024;5
DL 2194 ;25/02/2024;25/02/2024;7
DL 2194 ;26/02/2024;26/02/2024;1
DL 2194 ;27/02/2024;27/02/2024;2
DL 2194 ;29/02/2024;29/02/2024;4
DL 2194 ;01/03/2024;01/03/2024;5
DL 2194 ;03/03/2024;03/03/2024;7
DL 2194 ;04/03/2024;04/03/2024;1
DL 2194 ;05/03/2024;05/03/2024;2
DL 2194 ;06/03/2024;06/03/2024;3
DL 2194 ;07/03/2024;07/03/2024;4
DL 2194 ;08/03/2024;08/03/2024;5
DL 2194 ;10/03/2024;10/03/2024;7
DL 2194 ;11/03/2024;18/03/2024;17
DL 2194 ;12/03/2024;12/03/2024;2
DL 2194 ;13/03/2024;20/03/2024;3
DL 2194 ;14/03/2024;21/03/2024;4
DL 2194 ;15/03/2024;15/03/2024;5
DL 2194 ;16/03/2024;16/03/2024;6
DL 2194 ;19/03/2024;19/03/2024;2
DL 2194 ;22/03/2024;22/03/2024;5
DL 2194 ;23/03/2024;23/03/2024;6
DL 2194 ;24/03/2024;25/03/2024;17
DL 2194 ;26/03/2024;26/03/2024;2
DL 2194 ;27/03/2024;27/03/2024;3
DL 2194 ;28/03/2024;28/03/2024;4
DL 2194 ;29/03/2024;29/03/2024;5
DL 2194 ;30/03/2024;30/03/2024;6
DL 2194 ;31/03/2024;31/03/2024;7
DL 2194 ;01/04/2024;01/04/2024;1
DL 2194 ;02/04/2024;02/04/2024;2
DL 2194 ;03/04/2024;03/04/2024;3
DL 2194 ;04/04/2024;04/04/2024;4
DL 2194 ;05/04/2024;05/04/2024;5
DL 2194 ;06/04/2024;06/04/2024;6
DL 2194 ;07/04/2024;07/04/2024;7
DL 2194 ;08/04/2024;08/04/2024;1
DL 2194 ;09/04/2024;09/04/2024;2
DL 2194 ;10/04/2024;10/04/2024;3
DL 2194 ;11/04/2024;18/04/2024;14
DL 2194 ;12/04/2024;19/04/2024;5
DL 2194 ;13/04/2024;27/04/2024;6
DL 2194 ;14/04/2024;14/04/2024;7
DL 2194 ;16/04/2024;16/04/2024;2
DL 2194 ;17/04/2024;17/04/2024;3
DL 2194 ;21/04/2024;26/04/2024;1457
DL 2194 ;23/04/2024;23/04/2024;2
DL 2194 ;24/04/2024;24/04/2024;3
DL 2194 ;28/04/2024;06/05/2024;157
DL 2194 ;30/04/2024;30/04/2024;2
DL 2194 ;01/05/2024;01/05/2024;3
DL 2194 ;02/05/2024;02/05/2024;4
DL 2194 ;04/05/2024;04/05/2024;6
DL 2194 ;07/05/2024;07/05/2024;2
DL 2194 ;08/05/2024;05/06/2024;3
DL 2194 ;09/05/2024;23/05/2024;47
DL 2194 ;10/05/2024;20/05/2024;15
DL 2194 ;11/05/2024;11/05/2024;6
DL 2194 ;14/05/2024;21/05/2024;2
DL 2194 ;18/05/2024;01/06/2024;6
DL 2194 ;24/05/2024;03/06/2024;15
DL 2194 ;26/05/2024;26/05/2024;7
DL 2194 ;28/05/2024;04/06/2024;2
DL 2194 ;30/05/2024;06/06/2024;47
DL 2194 ;07/06/2024;08/09/2024;1457
DL 2194 ;08/06/2024;07/09/2024;236
DL 2194 ;09/09/2024;25/10/2024;1234567
DL 2194 ;26/10/2024;26/10/2024;6
AF 1149 ;15/02/2024;15/02/2024;4
AF 1149 ;16/02/2024;19/02/2024;15
AF 1149 ;17/02/2024;17/02/2024;6
AF 1149 ;18/02/2024;18/02/2024;7
AF 1149 ;20/02/2024;20/02/2024;2
AF 1149 ;21/02/2024;29/02/2024;123457
AF 1149 ;24/02/2024;30/03/2024;6
AF 1149 ;01/03/2024;01/03/2024;5
AF 1149 ;03/03/2024;05/03/2024;27
