vol;début;fin;frequence
AF001;14/02/2024;03/03/2024;1234567
AF001;09/03/2024;09/03/2024;6
AF001;04/03/2024;07/03/2024;1234
AF001;08/03/2024;08/03/2024;5
AF001;10/03/2024;10/03/2024;7
AF001;11/03/2024;11/03/2024;1
AF001;16/03/2024;29/03/2024;1234567
AF001;12/03/2024;13/03/2024;23
AF001;14/03/2024;14/03/2024;4
AF001;15/03/2024;15/03/2024;5
AF001;30/03/2024;30/03/2024;6
AF001;31/03/2024;25/05/2024;1234567
AF001;26/05/2024;25/10/2024;1234567
AF001;26/10/2024;26/10/2024;6
AF001L;30/01/2024;28/03/2025;12345
AF001N;20/02/2024;20/02/2024;2
AF001N;21/02/2024;21/02/2024;3
AF001N;22/02/2024;22/02/2024;4
AF002;15/02/2024;07/03/2024;4
AF002;20/02/2024;27/02/2024;2
AF002;02/03/2024;09/03/2024;6
AF002;05/03/2024;05/03/2024;2
AF002;10/03/2024;19/03/2024;267
AF002;14/03/2024;14/03/2024;4
AF002;21/03/2024;28/03/2024;4
AF002;22/03/2024;30/03/2024;2567
AF002;31/03/2024;31/03/2024;7
AF002;01/04/2024;19/06/2024;1234567
AF002;21/06/2024;26/10/2024;1234567
AF002L;31/01/2024;30/03/2025;357
AF002N;20/02/2024;20/02/2024;2
AF002N;21/02/2024;21/02/2024;3
AF002N;22/02/2024;22/02/2024;4
AF003;15/02/2024;07/03/2024;4
AF003;20/02/2024;05/03/2024;2
AF003;02/03/2024;09/03/2024;6
AF003;10/03/2024;19/03/2024;267
AF003;14/03/2024;14/03/2024;4
AF003;21/03/2024;28/03/2024;4
AF003;22/03/2024;29/03/2024;2567
AF003;30/03/2024;30/03/2024;6
AF003;31/03/2024;25/05/2024;1234567
AF003;26/05/2024;14/06/2024;1234567
AF003;16/06/2024;25/10/2024;1234567
AF003;26/10/2024;26/10/2024;6
AF003L;30/01/2024;28/03/2025;125
AF004;19/02/2024;03/03/2024;1234567
AF004;09/03/2024;09/03/2024;6
AF004;04/03/2024;07/03/2024;1234
AF004;08/03/2024;08/03/2024;5
AF004;10/03/2024;11/03/2024;17
AF004;16/03/2024;30/03/2024;1234567
AF004;12/03/2024;13/03/2024;23
AF004;14/03/2024;14/03/2024;4
AF004;15/03/2024;15/03/2024;5
AF004;31/03/2024;25/05/2024;1234567
AF004;26/05/2024;26/10/2024;1234567
AF004D;30/01/2024;31/12/2025;12347
AF004L;30/01/2024;31/03/2025;12345
AF004M;30/01/2024;30/03/2025;12347
AF005;12/02/2024;09/03/2024;1234567
AF005;10/03/2024;10/03/2024;7
AF005;11/03/2024;29/03/2024;1234567
AF005;30/03/2024;30/03/2024;6
AF005;31/03/2024;25/05/2024;1234567
AF005;26/05/2024;25/10/2024;1234567
AF005;26/10/2024;26/10/2024;6
AF005L;30/01/2024;31/03/2025;12345
AF006;12/02/2024;09/03/2024;1234567
AF006;10/03/2024;30/03/2024;1234567
AF006;31/03/2024;25/05/2024;1234567
AF006;26/05/2024;26/10/2024;1234567
AF006D;30/01/2024;31/12/2025;12347
AF006L;30/01/2024;28/03/2025;125
AF006M;30/01/2024;30/03/2025;12347
AF007;01/02/2024;09/03/2024;1234567
AF007;10/03/2024;29/03/2024;1234567
AF007;30/03/2024;30/03/2024;6
AF007;31/03/2024;31/03/2024;7
AF007;01/04/2024;03/04/2024;123
AF007;04/04/2024;07/04/2024;47
AF007;05/04/2024;05/04/2024;5
AF007;06/04/2024;06/04/2024;6
AF007;08/04/2024;11/04/2024;1234
AF007;12/04/2024;13/04/2024;56
AF007;14/04/2024;14/04/2024;7
AF007;15/04/2024;21/04/2024;1237
AF007;18/04/2024;20/04/2024;46
AF007;22/04/2024;22/04/2024;1
AF007;25/04/2024;04/05/2024;123456
AF007;28/04/2024;28/04/2024;7
AF007;05/05/2024;07/05/2024;127
AF007;08/05/2024;12/05/2024;34567
AF007;13/05/2024;23/05/2024;1234567
AF007;24/05/2024;25/05/2024;56
AF007;26/05/2024;25/10/2024;1234567
AF007L;03/02/2024;29/03/2025;6
AF007L;30/01/2024;28/03/2025;123457
AF008;10/02/2024;09/03/2024;1234567
AF008;10/03/2024;29/03/2024;1234567
AF008;30/03/2024;30/03/2024;6
AF008;31/03/2024;31/03/2024;7
AF008;01/04/2024;03/04/2024;123
AF008;04/04/2024;07/04/2024;47
AF008;05/04/2024;05/04/2024;5
AF008;06/04/2024;06/04/2024;6
AF008;08/04/2024;11/04/2024;1234
AF008;12/04/2024;19/04/2024;56
AF008;14/04/2024;14/04/2024;7
AF008;15/04/2024;21/04/2024;1237
AF008;18/04/2024;20/04/2024;46
AF008;22/04/2024;22/04/2024;1
AF008;25/04/2024;04/05/2024;123456
AF008;08/05/2024;12/05/2024;34567
AF008;28/04/2024;28/04/2024;7
AF008;05/05/2024;07/05/2024;127
AF008;13/05/2024;23/05/2024;1234567
AF008;24/05/2024;25/05/2024;56
AF008;26/05/2024;26/10/2024;1234567
AF008D;30/01/2024;31/12/2025;12347
AF008M;30/01/2024;30/03/2025;12347
AF008N;20/02/2024;20/02/2024;2
AF008N;21/02/2024;21/02/2024;3
AF008N;22/02/2024;22/02/2024;4
AF009;11/02/2024;09/03/2024;1234567
AF009;11/03/2024;30/03/2024;1234567
AF009;31/03/2024;31/03/2024;7
AF009;01/04/2024;28/04/2024;1234567
AF009;29/04/2024;04/05/2024;123456
AF009;05/05/2024;19/05/2024;1234567
AF009;20/05/2024;25/05/2024;123456
AF009;26/05/2024;02/06/2024;567
AF009;27/05/2024;30/05/2024;1234
AF009;03/06/2024;20/06/2024;12467
AF009;22/06/2024;29/06/2024;123467
AF009;26/08/2024;25/10/2024;1234567
AF009;05/06/2024;21/06/2024;35
AF009;28/06/2024;28/06/2024;5
AF009;30/06/2024;30/06/2024;7
AF009;01/07/2024;25/08/2024;1234567
AF009;26/10/2024;26/10/2024;6
AF009L;30/01/2024;30/03/2025;12347
AF010;11/02/2024;09/03/2024;1234567
AF010;10/03/2024;30/03/2024;1234567
AF010;31/03/2024;28/04/2024;1234567
AF010;29/04/2024;04/05/2024;123456
AF010;05/05/2024;19/05/2024;1234567
AF010;20/05/2024;25/05/2024;123456
AF010;26/05/2024;02/06/2024;567
AF010;27/05/2024;30/05/2024;1234
AF010;03/06/2024;20/06/2024;12467
AF010;22/06/2024;29/06/2024;123467
AF010;26/08/2024;26/10/2024;1234567
AF010;05/06/2024;21/06/2024;35
AF010;28/06/2024;28/06/2024;5
AF010;30/06/2024;30/06/2024;7
AF010;01/07/2024;25/08/2024;1234567
AF010D;01/02/2024;31/12/2025;4
AF010D;30/01/2024;31/12/2025;1237
AF010L;30/01/2024;31/03/2025;1234567
AF010M;30/01/2024;30/03/2025;12347
AF011;23/05/2024;25/05/2024;46
AF011;27/05/2024;27/05/2024;1
AF011;28/05/2024;28/05/2024;2
AF011;30/05/2024;30/05/2024;4
AF011;01/06/2024;26/10/2024;1234567
AF011L;30/01/2024;31/03/2025;1234
AF011L;02/02/2024;28/03/2025;5
AF012;22/05/2024;24/05/2024;35
AF012;26/05/2024;31/05/2024;357
AF012;27/05/2024;27/05/2024;1
AF012;01/06/2024;26/10/2024;1234567
AF012D;30/01/2024;31/12/2025;12347
AF012L;30/01/2024;31/03/2025;1234
AF012L;02/02/2024;28/03/2025;5
AF012M;30/01/2024;30/03/2025;12347
AF013L;30/01/2024;30/03/2025;12347
AF014L;03/02/2024;29/03/2025;6
AF015L;02/02/2024;28/03/2025;5
AF015L;30/01/2024;24/03/2025;1234
AF016D;30/01/2024;31/12/2025;12347
AF016L;30/01/2024;28/03/2025;1234567
AF016M;30/01/2024;30/03/2025;12347
AF017L;30/01/2024;28/03/2025;12345
AF018D;30/01/2024;31/12/2025;12347
AF018L;30/01/2024;30/03/2025;12347
AF018L;02/02/2024;28/03/2025;5
AF018M;30/01/2024;30/03/2025;12347
AF019L;30/01/2024;28/03/2025;12345
AF020;06/04/2024;27/04/2024;6
AF020;09/04/2024;25/04/2024;24
AF020;29/04/2024;11/05/2024;16
AF020;02/05/2024;02/05/2024;4
AF020;09/05/2024;09/05/2024;4
AF020;13/05/2024;13/05/2024;1
AF020;16/05/2024;16/05/2024;4
AF020;18/05/2024;18/05/2024;6
AF020;20/05/2024;20/05/2024;1
AF020;23/05/2024;30/05/2024;4
AF020;25/05/2024;25/05/2024;6
AF020;01/06/2024;01/06/2024;6
AF020;03/06/2024;23/06/2024;12467
AF020;24/06/2024;30/06/2024;1234567
AF020;01/07/2024;01/09/2024;1234567
AF020;02/09/2024;26/10/2024;13567
AF020D;30/01/2024;31/12/2025;12347
AF020M;30/01/2024;30/03/2025;12347
AF021;06/04/2024;27/04/2024;6
AF021;09/04/2024;25/04/2024;24
AF021;29/04/2024;11/05/2024;16
AF021;02/05/2024;02/05/2024;4
AF021;09/05/2024;09/05/2024;4
AF021;16/05/2024;16/05/2024;4
AF021;18/05/2024;18/05/2024;6
AF021;20/05/2024;20/05/2024;1
AF021;23/05/2024;30/05/2024;4
AF021;25/05/2024;25/05/2024;6
AF021;27/05/2024;27/05/2024;1
AF021;01/06/2024;01/06/2024;6
AF021;03/06/2024;06/06/2024;124
AF021;08/06/2024;10/06/2024;16
AF021;09/06/2024;09/06/2024;7
AF021;11/06/2024;11/06/2024;2
AF021;13/06/2024;23/06/2024;247
AF021;15/06/2024;22/06/2024;16
AF021;24/06/2024;24/06/2024;1
AF021;25/06/2024;28/06/2024;245
AF021;26/06/2024;29/06/2024;36
AF021;30/06/2024;30/06/2024;7
AF021;01/07/2024;01/09/2024;1234567
AF021;02/09/2024;25/10/2024;13567
AF021;26/10/2024;26/10/2024;6
AF021L;30/01/2024;27/03/2025;1234
AF021L;02/02/2024;28/03/2025;5
AF022;31/03/2024;21/04/2024;1234567
AF022;22/04/2024;22/04/2024;1
AF022;23/04/2024;25/05/2024;1234567
AF022;26/05/2024;26/10/2024;1234567
AF022D;30/01/2024;31/12/2025;12347
AF022L;30/01/2024;28/03/2025;12345
AF022M;30/01/2024;30/03/2025;12347
AF023;31/03/2024;28/04/2024;2457
AF023;01/04/2024;17/04/2024;13
AF023;06/04/2024;27/04/2024;6
AF023;22/04/2024;22/04/2024;1
AF023;24/04/2024;24/04/2024;3
AF023;29/04/2024;20/05/2024;16
AF023;30/04/2024;23/05/2024;24
AF023;01/05/2024;24/05/2024;357
AF023;25/05/2024;25/05/2024;6
AF023;26/05/2024;02/06/2024;357
AF023;27/05/2024;27/05/2024;1
AF023;28/05/2024;30/05/2024;24
AF023;01/06/2024;01/06/2024;6
AF023;03/06/2024;02/09/2024;1234567
AF023;03/09/2024;24/10/2024;24
AF023;04/09/2024;25/10/2024;13567
AF023;26/10/2024;26/10/2024;6
AF023L;30/01/2024;31/03/2025;12345
AF024;31/03/2024;28/04/2024;2457
AF024;01/04/2024;24/04/2024;13
AF024;06/04/2024;27/04/2024;6
AF024;29/04/2024;25/05/2024;16
AF024;30/04/2024;23/05/2024;24
AF024;01/05/2024;24/05/2024;357
AF024;26/05/2024;02/06/2024;357
AF024;27/05/2024;01/06/2024;16
AF024;28/05/2024;30/05/2024;24
AF024;03/06/2024;02/09/2024;12346
AF024;07/06/2024;25/10/2024;57
AF024;03/09/2024;24/10/2024;24
AF024;04/09/2024;26/10/2024;136
AF024D;30/01/2024;31/12/2025;12347
AF024L;30/01/2024;28/03/2025;12345
AF024M;30/01/2024;30/11/2025;1237
AF024M;01/02/2024;27/11/2025;4
AF025;31/03/2024;28/04/2024;2457
AF025;01/04/2024;24/04/2024;13
AF025;06/04/2024;27/04/2024;6
AF025;29/04/2024;25/05/2024;16
AF025;30/04/2024;23/05/2024;24
AF025;01/05/2024;24/05/2024;357
AF025;26/05/2024;02/06/2024;357
AF025;27/05/2024;01/06/2024;16
