vol;deb;fin;frequence
AF001;03/02/2024;08/02/2024;467
AF001;10/02/2024;03/03/2024;1234567
AF001;09/03/2024;09/03/2024;6
AF001;06/02/2024;06/02/2024;2
AF001;07/02/2024;07/02/2024;3
AF001;09/02/2024;09/02/2024;5
AF001;04/03/2024;07/03/2024;1234
AF001;08/03/2024;08/03/2024;5
AF001;10/03/2024;10/03/2024;7
AF001;11/03/2024;11/03/2024;1
AF001;16/03/2024;29/03/2024;1234567
AF001;12/03/2024;13/03/2024;23
AF001;14/03/2024;14/03/2024;4
AF001;15/03/2024;15/03/2024;5
AF001;30/03/2024;30/03/2024;6
AF001;31/03/2024;25/05/2024;1234567
AF001;26/05/2024;25/10/2024;1234567
AF001;26/10/2024;26/10/2024;6
AF001;27/10/2024;01/11/2024;123457
AF001L;16/01/2024;28/03/2025;12345
AF001N;06/02/2024;06/02/2024;2
AF001N;07/02/2024;07/02/2024;3
AF002;13/02/2024;27/02/2024;2
AF002;15/02/2024;07/03/2024;4
AF002;02/03/2024;09/03/2024;6
AF002;05/03/2024;05/03/2024;2
AF002;10/03/2024;19/03/2024;267
AF002;14/03/2024;28/03/2024;4
AF002;22/03/2024;30/03/2024;2567
AF002;31/03/2024;19/06/2024;1234567
AF002;21/06/2024;26/10/2024;1234567
AF002;27/10/2024;02/11/2024;1234567
AF002L;17/01/2024;30/03/2025;357
AF002N;06/02/2024;06/02/2024;2
AF002N;07/02/2024;07/02/2024;3
AF003;13/02/2024;05/03/2024;2
AF003;02/03/2024;09/03/2024;6
AF003;15/02/2024;07/03/2024;4
AF003;10/03/2024;19/03/2024;267
AF003;14/03/2024;28/03/2024;4
AF003;22/03/2024;29/03/2024;2567
AF003;30/03/2024;30/03/2024;6
AF003;31/03/2024;25/05/2024;1234567
AF003;26/05/2024;14/06/2024;1234567
AF003;16/06/2024;25/10/2024;1234567
AF003;26/10/2024;26/10/2024;6
AF003;27/10/2024;02/11/2024;1234567
AF003L;16/01/2024;28/03/2025;125
AF004;08/02/2024;08/02/2024;4
AF004;10/02/2024;03/03/2024;1234567
AF004;09/03/2024;09/03/2024;6
AF004;06/02/2024;06/02/2024;2
AF004;07/02/2024;07/02/2024;3
AF004;09/02/2024;09/02/2024;5
AF004;04/03/2024;07/03/2024;1234
AF004;08/03/2024;08/03/2024;5
AF004;10/03/2024;11/03/2024;17
AF004;16/03/2024;30/03/2024;1234567
AF004;12/03/2024;13/03/2024;23
AF004;14/03/2024;14/03/2024;4
AF004;15/03/2024;15/03/2024;5
AF004;31/03/2024;25/05/2024;1234567
AF004;26/05/2024;26/10/2024;1234567
AF004;27/10/2024;02/11/2024;1234567
AF004D;16/01/2024;31/12/2025;12347
AF004L;16/01/2024;31/03/2025;12345
AF004M;16/01/2024;30/03/2025;12347
AF005;17/01/2024;09/03/2024;1234567
AF005;10/03/2024;10/03/2024;7
AF005;11/03/2024;29/03/2024;1234567
AF005;30/03/2024;30/03/2024;6
AF005;31/03/2024;25/05/2024;1234567
AF005;26/05/2024;25/10/2024;1234567
AF005;26/10/2024;26/10/2024;6
AF005;27/10/2024;02/11/2024;1234567
AF005L;16/01/2024;31/03/2025;12345
AF006;16/01/2024;09/03/2024;1234567
AF006;10/03/2024;30/03/2024;1234567
AF006;31/03/2024;25/05/2024;1234567
AF006;26/05/2024;26/10/2024;1234567
AF006D;16/01/2024;31/12/2025;12347
AF006L;16/01/2024;28/03/2025;125
AF006M;16/01/2024;30/03/2025;12347
AF007;01/02/2024;09/03/2024;1234567
AF007;10/03/2024;29/03/2024;1234567
AF007;30/03/2024;30/03/2024;6
AF007;31/03/2024;31/03/2024;7
AF007;01/04/2024;03/04/2024;123
AF007;04/04/2024;07/04/2024;47
AF007;05/04/2024;05/04/2024;5
AF007;06/04/2024;06/04/2024;6
AF007;08/04/2024;11/04/2024;1234
AF007;12/04/2024;13/04/2024;56
AF007;14/04/2024;14/04/2024;7
AF007;15/04/2024;21/04/2024;1237
AF007;18/04/2024;20/04/2024;46
AF007;22/04/2024;22/04/2024;1
AF007;25/04/2024;04/05/2024;123456
