vol;deb;fin;frequence
AF001;31/03/2024;25/05/2024;1234567
AF001;26/05/2024;25/10/2024;1234567
AF001;26/10/2024;26/10/2024;6
AF002;31/03/2024;19/06/2024;1234567
AF002;22/06/2024;26/10/2024;1234567
AF003;31/03/2024;25/05/2024;1234567
AF003;17/06/2024;25/10/2024;1234567
AF003;26/05/2024;14/06/2024;1234567
AF003;26/10/2024;26/10/2024;6
AF004;31/03/2024;25/05/2024;1234567
AF004;26/05/2024;26/10/2024;1234567
AF005;31/03/2024;25/05/2024;1234567
AF005;26/05/2024;25/10/2024;1234567
AF005;26/10/2024;26/10/2024;6
AF006;31/03/2024;25/05/2024;1234567
AF006;26/05/2024;26/10/2024;1234567
AF007;30/03/2024;30/03/2024;6
AF007;21/04/2024;21/04/2024;7
AF007;15/04/2024;17/04/2024;123
AF007;28/04/2024;28/04/2024;7
AF007;04/04/2024;07/04/2024;47
AF007;01/04/2024;03/04/2024;123
AF007;08/04/2024;11/04/2024;1234
AF007;31/03/2024;31/03/2024;7
AF007;05/04/2024;05/04/2024;5
AF007;14/04/2024;14/04/2024;7
AF007;18/04/2024;20/04/2024;46
AF007;06/04/2024;06/04/2024;6
AF007;25/04/2024;04/05/2024;123456
AF007;13/05/2024;23/05/2024;1234567
AF007;24/05/2024;25/05/2024;56
AF007;22/04/2024;22/04/2024;1
AF007;05/05/2024;07/05/2024;127
AF007;08/05/2024;12/05/2024;34567
AF007;12/04/2024;13/04/2024;56
AF007;26/05/2024;25/10/2024;1234567
AF008;21/04/2024;21/04/2024;7
AF008;15/04/2024;17/04/2024;123
AF008;28/04/2024;28/04/2024;7
AF008;04/04/2024;07/04/2024;47
AF008;31/03/2024;05/04/2024;57
AF008;01/04/2024;03/04/2024;123
AF008;08/04/2024;11/04/2024;1234
AF008;06/04/2024;06/04/2024;6
AF008;14/04/2024;14/04/2024;7
AF008;18/04/2024;20/04/2024;46
AF008;25/04/2024;27/04/2024;456
AF008;29/04/2024;12/05/2024;1234567
AF008;22/04/2024;22/04/2024;1
AF008;05/05/2024;07/05/2024;127
AF008;13/05/2024;23/05/2024;1234567
AF008;24/05/2024;25/05/2024;56
AF008;12/04/2024;19/04/2024;56
AF008;26/05/2024;26/10/2024;1234567
AF009;31/03/2024;31/03/2024;7
AF009;01/04/2024;28/04/2024;1234567
AF009;29/04/2024;04/05/2024;123456
AF009;05/05/2024;19/05/2024;1234567
